Product Code,Name,Description,Small Image,Large Image,Catalogue,Sale Price,Retail Price,Tax Code,SEO friendly URL,Grouping Product Codes,Grouping Product Descriptions,Supplier CRM ID,Supplier Commission Percentage,Weighting/Order,Related Products,Weight In KG/Pounds,Product Width (Previously Volume),Keywords,Unit Type,Min Units,Max Units,In Stock,On Order,Re-order Threshold,Inventory Control,Can Pre-Order,Custom 1,Custom 2,Custom 3,Custom 4,Poplets,Enabled,Capture Details,Limit Download Count,Limit Download IP,On Sale,Hide if Out of Stock,Attributes,Gift Voucher,Drop Shipping,Product Height,Product Depth,Exclude From Search Results,Product Title,Wholesale Sale Price,Tax Code,Cycle Type,Cycle Type Count,Product URL,Product Affiliate URL,Variations Enabled,Variations Code,Variation Options
FDFLAG170102FWKT,Fireworks 17' Smiley Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG102FW_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG102FW.png,/shop/flags/feather dancer/fireworks/;,US/108.75;,,,,,,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123738}",,,,/Assets/img/products/feather/dancer/poplets/fireworks/fireworks_smiley_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDFLAG130103FWKT,Fireworks 13' Blue Star Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG103FW_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG103FW.png,/shop/flags/feather dancer/fireworks/;,US/84.00;,,,,FDFLAG130103FWKT;FDFLAG170103FWKT;,;;,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123282}",,,,/Assets/img/products/feather/dancer/poplets/fireworks/fireworks_bluestar_sun.jpg;/Assets/img/products/feather/dancer/poplets/fireworks/fireworks_bluestar.jpg,,,,,,,,,,,,,,,,,,,,,,
FDFLAG170103FWKT,Fireworks 17' Blue Star Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG103FW_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG103FW.png,/shop/flags/feather dancer/fireworks/;,US/108.75;,,,,,,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123738}",,,,/Assets/img/products/feather/dancer/poplets/fireworks/fireworks_bluestar_sun.jpg;/Assets/img/products/feather/dancer/poplets/fireworks/fireworks_bluestar.jpg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDFLAG130104FWKT,Fireworks 13' Red Star Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG104FW_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG104FW.png,/shop/flags/feather dancer/fireworks/;,US/84.00;,,,,FDFLAG130104FWKT;FDFLAG170104FWKT;,;;,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123282}",,,,/Assets/img/products/feather/dancer/poplets/fireworks/fireworks_redstar_sun.jpg;/Assets/img/products/feather/dancer/poplets/fireworks/fireworks_redstar 2.jpg,,,,,,,,,,,,,,,,,,,,,,
FDFLAG170104FWKT,Fireworks 17' Red Star Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG104FW_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG104FW.png,/shop/flags/feather dancer/fireworks/;,US/108.75;,,,,,,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123738}",,,,/Assets/img/products/feather/dancer/poplets/fireworks/fireworks_redstar_sun.jpg;/Assets/img/products/feather/dancer/poplets/fireworks/fireworks_redstar 2.jpg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDFLAG130105FWKT,Fireworks 13' Slant Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG105FW_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG105FW.png,/shop/flags/feather dancer/fireworks/;,US/84.00;,,,,FDFLAG130105FWKT;FDFLAG170105FWKT;,;;,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123282}",,,,/Assets/img/products/feather/dancer/poplets/fireworks/fireworks_slant_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
FDFLAG170105FWKT,Fireworks 17' Slant Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG105FW_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG105FW.png,/shop/flags/feather dancer/fireworks/;,US/108.75;,,,,,,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123738}",,,,/Assets/img/products/feather/dancer/poplets/fireworks/fireworks_slant_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDFLAG130101GOKT,Grand Opening 13' Cone Head Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG101GO_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG101GO.png,/shop/flags/feather dancer/business/;,US/84.00;,,,,FDFLAG130101GOKT;FDFLAG170101GOKT;,;;,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123282}",,,,/Assets/img/products/feather/dancer/poplets/business/grandopening_conehead_sun.jpg;/Assets/img/products/feather/dancer/poplets/business/grandopening_conehead.jpg,,,,,,,,,,,,,,,,,,,,,,
FDFLAG170101GOKT,Grand Opening 17' Cone Head Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG101GO_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG101GO.png,/shop/flags/feather dancer/business/;,US/108.75;,,,,,,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123738}",,,,/Assets/img/products/feather/dancer/poplets/business/grandopening_conehead_sun.jpg;/Assets/img/products/feather/dancer/poplets/business/grandopening_conehead.jpg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDFLAG130102GOKT,Grand Opening 13' Smiley Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG102GO_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG102GO.png,/shop/flags/feather dancer/business/;,US/84.00;,,,,FDFLAG130102GOKT;FDFLAG170102GOKT;,;;,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123282}",,,,/Assets/img/products/feather/dancer/poplets/business/grandopening_smiley_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
FDFLAG170102GOKT,Grand Opening 17' Smiley Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG102GO_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG102GO.png,/shop/flags/feather dancer/business/;,US/108.75;,,,,,,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123738}",,,,/Assets/img/products/feather/dancer/poplets/business/grandopening_smiley_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
